id;node_sn;timestamp;GPS_lat;GPS_lon;GPS_alt;GPS_speed;GPS_num_sats;ACC_x_RMS;ACC_y_RMS;ACC_z_RMS;ACC_x_MEAN;ACC_y_MEAN;ACC_z_MEAN;ACC_samples;MAG_x_RMS;MAG_y_RMS;MAG_z_RMS;MAG_x_MEAN;MAG_y_MEAN;MAG_z_MEAN;MAG_samples;temperature;is_anomaly;raw_MSE;score
41;22;05/03/2022 01:01;4.524.517.059.326.170;19.848.190.307.617.100;141;0;4;0;0;0;0.613125;-0.153281;-102.698;1;0;0;0;37;18;1;1;0.448997;NULL;NULL;NULL
42;22;05/03/2022 02:02;4.524.517.059.326.170;198.485.107.421.875;125;0;2;0;0;0;0.613125;-0.153281;-102.698;1;0;0;0;37;18;1;1;-120.127;NULL;NULL;NULL
43;22;05/03/2022 03:03;4.524.502.944.946.280;19.847.890.853.881.800;78;0;3;0;0;0;0.613125;0;-105.764;1;0;0;0;37;18;1;1;-179.942;NULL;NULL;NULL
44;22;05/03/2022 04:04;4.524.509.811.401.360;19.847.990.036.010.700;93;0;2;0;0;0;0.459844;-0.153281;-102.698;1;0;0;0;37;18;1;1;-177.272;NULL;NULL;NULL
45;22;05/03/2022 05:06;4.524.502.944.946.280;1.984.803.009.033.200;97;0;3;0;0;0;0.306563;-0.306563;-101.166;1;0;0;0;37;18;1;1;-171.931;NULL;NULL;NULL
46;22;05/03/2022 06:07;4.524.523.162.841.790;19.847.930.908.203.100;59;0;2;0;0;0;0.459844;0;-107.297;1;0;0;0;37;18;1;1;-120.127;NULL;NULL;NULL
47;22;05/03/2022 07:08;45.244.991.302.490.200;19.848.360.061.645.500;106;0;4;0;0;0;0.459844;0;-101.166;1;0;0;0;37;18;1;1;375.754;NULL;NULL;NULL
48;22;05/03/2022 08:09;4.524.496.078.491.210;19.846.860.885.620.100;-3;0;3;0;0;0;0.153281;-0.153281;-935.016;1;0;0;0;37;18;1;1;19.136;NULL;NULL;NULL
49;22;05/03/2022 09:09;4.524.494.934.082.030;19.847.999.572.753.900;110;0;4;0;0;0;0.306563;0;-996.328;1;0;0;0;37;18;1;1;28.856;NULL;NULL;NULL
50;22;05/03/2022 10:09;4.524.501.037.597.650;1.984.819.984.436.030;73;0;3;0;0;0;0.153281;0;-996.328;1;0;0;0;37;18;1;1;247.677;NULL;NULL;NULL
